分数段	人数	累计
257	233	328605
256	239	328844
255	235	329079
254	215	329294
253	222	329516
252	213	329729
251	216	329945
250	207	330152
249	201	330353
248	178	330531
247	220	330751
246	207	330958
245	214	331172
244	185	331357
243	215	331572
242	197	331769
241	202	331971
240	193	332164
239	177	332341
238	147	332488
237	166	332654
236	163	332817
235	149	332966
234	161	333127
233	136	333263
232	163	333426
231	134	333560
230	139	333699
229	137	333836
228	131	333967
227	114	334081
226	110	334191
225	111	334302
224	133	334435
223	108	334543
222	106	334649
221	133	334782
220	122	334904
219	110	335014
218	109	335123
217	95	335218
216	79	335297
215	82	335379
214	89	335468
213	72	335540
212	104	335644
211	86	335730
210	66	335796
209	59	335855
208	77	335932
207	92	336024
206	57	336081
205	77	336158
204	61	336219
203	55	336274
202	53	336327
201	77	336404
200	62	336466
199	32	336498
198	49	336547
197	37	336584
196	45	336629
195	46	336675
194	48	336723
193	43	336766
192	52	336818
191	33	336851
190	34	336885
189	42	336927
188	38	336965
187	39	337004
186	34	337038
185	27	337065
184	31	337096
183	27	337123
182	39	337162
181	25	337187
180	31	337218
179	35	337253
178	28	337281
177	17	337298
176	19	337317
175	19	337336
174	18	337354
173	22	337376
172	18	337394
171	36	337430
170	20	337450
169	17	337467
168	18	337485
167	18	337503
166	17	337520
165	14	337534
164	17	337551
163	22	337573
162	13	337586
161	13	337599
160	16	337615
159	16	337631
158	22	337653
157	14	337667
156	16	337683
155	13	337696
154	15	337711
153	8	337719
152	7	337726
151	9	337735
150	15	337750
149	13	337763
148	12	337775
147	6	337781
146	10	337791
145	7	337798
144	10	337808
143	11	337819
142	16	337835
141	7	337842
140	9	337851
139	7	337858
138	3	337861
137	9	337870
136	6	337876
135	3	337879
134	7	337886
133	6	337892
132	5	337897
131	4	337901
130	0	337901
129	4	337905
128	4	337909
127	5	337914
126	6	337920
125	2	337922
124	5	337927
123	4	337931
122	0	337931
121	5	337936
120	1	337937
119	3	337940
118	5	337945
117	3	337948
116	1	337949
115	4	337953
114	4	337957
113	3	337960
112	1	337961
111	4	337965
110	2	337967
109	1	337968
108	2	337970
107	2	337972
106	3	337975
105	0	337975
104	3	337978
103	4	337982
102	2	337984
101	3	337987
100	1	337988
