专业名称,所属学院,2018最低分,2018最低排位,2018平均分,2018平均排位,2019最低分,2019最低排位,2019平均分,2019平均排位,2020最低分,2020最低排位,2020平均分,2020平均排位
公共管理类（含行政管理、政治学与行政学专业）,政治与公共事务管理学院,627,3393,630,2992,624,3370,626,3111,648,3920,653,3057,
保密管理,数据科学与计算机学院（软件学院）,-1,-1,-1,-1,621,3804,627,2974,649,3749,653,3057,
经济学类（含经济学、金融学、工商管理、会计学专业）,国际金融学院,-1,-1,-1,-1,620,3954,627,2974,652,3218,655,2774,
信息管理与信息系统,资讯管理学院,629,3122,631,2870,-1,-1,-1,-1,-1,-1,-1,-1,
信息管理与信息系统,资讯管理学院,629,3122,631,2870,-1,-1,-1,-1,-1,-1,-1,-1,
新闻传播学类（含新闻学、传播学专业）,传播与设计学院,625,3680,632,2765,622,3653,626,3111,655,2774,658,2307,
物理学类（含物理学、光电信息科学与工程（理学）专业）,物理学院,-1,-1,-1,-1,623,3499,631,2489,652,3218,656,2615,
微电子科学与工程,电子与信息工程学院（微电子学院）,630,2992,634,2519,-1,-1,-1,-1,-1,-1,-1,-1,
城乡规划,地理科学与规划学院,628,3263,634,2519,-1,-1,-1,-1,-1,-1,-1,-1,
智能科学与技术,智能工程学院,631,2870,635,2415,-1,-1,-1,-1,-1,-1,-1,-1,
临床医学,中山医学院,626,3535,636,2299,625,3254,632,2372,653,3057,660,2052,
电子信息类（含电子信息科学与技术、通信工程、微电子科学与工程、光电信息科学与工程（工学）专业）,电子与信息工程学院（微电子学院）,-1,-1,-1,-1,629,2729,633,2253,656,2615,659,2178,
电子信息类（含电子信息科学与技术、通信工程专业）,电子与信息工程学院（微电子学院）,632,2765,637,2194,-1,-1,-1,-1,-1,-1,-1,-1,
金融学,国际金融学院,627,3393,637,2194,-1,-1,-1,-1,-1,-1,-1,-1,
汉语言文学,中国语言文学系,629,3122,639,2022,628,2841,637,1840,659,2178,661,1923,
数学类（含数学与应用数学、统计学专业）,数学学院,633,2658,638,2109,631,2489,637,1840,659,2178,663,1717,
软件工程,数据科学与计算机学院（软件学院）,638,2109,641,1829,-1,-1,-1,-1,-1,-1,-1,-1,
物理学,物理学院,628,3263,641,1829,-1,-1,-1,-1,-1,-1,-1,-1,
工商管理,管理学院,626,3535,641,1829,-1,-1,-1,-1,-1,-1,-1,-1,
工商管理类（含工商管理、会计学专业）,管理学院,-1,-1,-1,-1,632,2372,638,1741,660,2052,664,1612,
信息与计算科学,数据科学与计算机学院,639,2022,643,1652,-1,-1,-1,-1,-1,-1,-1,-1,
会计学,管理学院,630,2992,643,1652,-1,-1,-1,-1,-1,-1,-1,-1,
法学,法学院,640,1918,644,1581,634,2141,640,1579,661,1923,664,1612,
口腔医学,光华口腔医学院,636,2299,640,1918,637,1840,640,1579,665,1519,668,1238,
计算机类（含计算机科学与技术、网络空间安全、信息与计算科学、软件工程专业）,数据科学与计算机学院（软件学院）,-1,-1,-1,-1,637,1840,642,1447,662,1821,667,1333,
计算机类（含计算机科学与技术、网络空间安全专业）,数据科学与计算机学院,642,1745,647,1357,-1,-1,-1,-1,-1,-1,-1,-1,
管理科学与工程类（含国际商务、管理科学专业）,岭南学院,642,1745,651,1099,-1,-1,-1,-1,-1,-1,-1,-1,
口腔医学（5+3）,光华口腔医学院,638,2109,648,1295,644,1293,647,1084,670,1057,673,841,
经济学类（含国际商务、管理科学、金融学、经济学专业）,岭南学院,-1,-1,-1,-1,646,1154,650,913,670,1057,673,841,
经济学类（含金融学、经济学专业）,岭南学院,645,1508,655,865,-1,-1,-1,-1,-1,-1,-1,-1,
临床医学（八年制）,中山医学院,654,917,659,660,646,1154,653,771,672,915,676,655,
