分数段	分数段人数	累计人数
339	929	239873
338	851	240724
337	838	241562
336	890	242452
335	892	243344
334	862	244206
333	862	245068
332	859	245927
331	829	246756
330	875	247631
329	884	248515
328	860	249375
327	877	250252
326	855	251107
325	806	251913
324	859	252772
323	848	253620
322	788	254408
321	820	255228
320	841	256069
319	763	256832
318	790	257622
317	836	258458
316	809	259267
315	777	260044
314	774	260818
313	812	261630
312	751	262381
311	719	263100
310	770	263870
309	744	264614
308	760	265374
307	671	266045
306	748	266793
305	736	267529
304	724	268253
303	714	268967
302	690	269657
301	712	270369
300	731	271100
299	693	271793
298	662	272455
297	739	273194
296	688	273882
295	695	274577
294	647	275224
293	627	275851
292	677	276528
291	663	277191
290	638	277829
289	681	278510
288	654	279164
287	613	279777
286	664	280441
285	615	281056
284	612	281668
283	627	282295
282	602	282897
281	569	283466
280	580	284046
279	631	284677
278	589	285266
277	535	285801
276	619	286420
275	569	286989
274	600	287589
273	513	288102
272	575	288677
271	592	289269
270	564	289833
269	551	290384
268	538	290922
267	622	291544
266	549	292093
265	583	292676
264	498	293174
263	509	293683
262	511	294194
261	550	294744
260	520	295264
259	502	295766
258	551	296317
257	515	296832
256	486	297318
255	492	297810
254	511	298321
253	457	298778
252	451	299229
251	506	299735
250	501	300236
249	445	300681
248	491	301172
247	479	301651
246	478	302129
245	457	302586
244	445	303031
243	450	303481
242	444	303925
241	467	304392
240	447	304839
239	428	305267
238	465	305732
237	454	306186
236	456	306642
235	416	307058
234	453	307511
233	384	307895
232	405	308300
231	402	308702
230	392	309094
229	418	309512
228	403	309915
227	418	310333
226	378	310711
225	380	311091
224	395	311486
223	408	311894
222	372	312266
221	361	312627
220	350	312977
219	306	313283
218	364	313647
217	348	313995
216	380	314375
215	384	314759
214	357	315116
213	351	315467
212	366	315833
211	336	316169
210	359	316528
209	336	316864
208	347	317211
207	324	317535
206	333	317868
205	336	318204
204	311	318515
203	333	318848
202	322	319170
201	315	319485
200	305	319790
199	309	320099
198	320	320419
197	286	320705
196	291	320996
195	284	321280
194	321	321601
193	285	321886
192	271	322157
191	281	322438
190	265	322703
189	254	322957
188	235	323192
187	246	323438
186	269	323707
185	253	323960
184	244	324204
183	241	324445
182	254	324699
181	225	324924
180	214	325138
179	219	325357
178	222	325579
177	204	325783
176	231	326014
175	217	326231
174	204	326435
173	215	326650
172	184	326834
171	192	327026
170	166	327192
169	175	327367
168	200	327567
167	181	327748
166	166	327914
165	187	328101
164	158	328259
163	182	328441
162	164	328605
161	179	328784
160	133	328917
159	158	329075
158	151	329226
157	140	329366
156	159	329525
155	154	329679
154	144	329823
153	147	329970
152	151	330121
151	154	330275
150	124	330399
