分数段	分数段人数	累计人数
690	20	20
689	6	26
688	6	32
687	5	37
686	5	42
685	5	47
684	6	53
683	7	60
682	6	66
681	7	73
680	11	84
679	16	100
678	19	119
677	22	141
676	17	158
675	18	176
674	13	189
673	22	211
672	21	232
671	29	261
670	18	279
669	21	300
668	35	335
667	31	366
666	28	394
665	31	425
664	36	461
663	43	504
662	29	533
661	46	579
660	43	622
659	38	660
658	47	707
657	57	764
656	51	815
655	50	865
654	52	917
653	48	965
652	69	1034
651	65	1099
650	63	1162
649	68	1230
648	65	1295
647	62	1357
646	64	1421
645	87	1508
644	73	1581
643	71	1652
642	93	1745
641	84	1829
640	89	1918
639	104	2022
638	87	2109
637	85	2194
636	105	2299
635	116	2415
634	104	2519
633	139	2658
632	107	2765
631	105	2870
630	122	2992
629	130	3122
628	141	3263
627	130	3393
626	142	3535
625	145	3680
624	144	3824
623	145	3969
622	164	4133
621	159	4292
620	162	4454
619	144	4598
618	200	4798
617	175	4973
616	216	5189
615	209	5398
614	187	5585
613	195	5780
612	187	5967
611	221	6188
610	213	6401
609	230	6631
608	232	6863
607	216	7079
606	233	7312
605	251	7563
604	261	7824
603	263	8087
602	261	8348
601	293	8641
600	241	8882
599	287	9169
598	282	9451
597	302	9753
596	299	10052
595	281	10333
594	323	10656
593	280	10936
592	340	11276
591	353	11629
590	328	11957
589	337	12294
588	354	12648
587	330	12978
586	384	13362
585	354	13716
584	380	14096
583	396	14492
582	373	14865
581	399	15264
580	411	15675
579	434	16109
578	415	16524
577	433	16957
576	436	17393
575	421	17814
574	459	18273
573	448	18721
572	442	19163
571	454	19617
570	456	20073
569	492	20565
568	479	21044
567	500	21544
566	477	22021
565	514	22535
564	523	23058
563	520	23578
562	498	24076
561	527	24603
560	540	25143
559	582	25725
558	558	26283
557	567	26850
556	603	27453
555	577	28030
554	572	28602
553	571	29173
552	600	29773
551	594	30367
550	663	31030
549	613	31643
548	641	32284
547	646	32930
546	675	33605
545	640	34245
544	706	34951
543	646	35597
542	661	36258
541	680	36938
540	704	37642
539	661	38303
538	715	39018
537	737	39755
536	692	40447
535	735	41182
534	700	41882
533	744	42626
532	768	43394
531	722	44116
530	713	44829
529	764	45593
528	732	46325
527	745	47070
526	727	47797
525	793	48590
524	770	49360
523	764	50124
522	845	50969
521	803	51772
520	795	52567
519	817	53384
518	844	54228
517	856	55084
516	844	55928
515	859	56787
514	831	57618
513	836	58454
512	863	59317
511	871	60188
510	867	61055
509	866	61921
508	833	62754
507	875	63629
506	948	64577
505	953	65530
504	901	66431
503	951	67382
502	953	68335
501	929	69264
500	901	70165
499	920	71085
498	922	72007
497	928	72935
496	960	73895
495	969	74864
494	957	75821
493	918	76739
492	941	77680
491	995	78675
490	964	79639
489	976	80615
488	935	81550
487	1003	82553
486	968	83521
485	1002	84523
484	956	85479
483	1020	86499
482	1026	87525
481	1019	88544
480	956	89500
479	991	90491
478	1039	91530
477	1016	92546
476	1080	93626
475	1009	94635
474	1065	95700
473	1054	96754
472	1020	97774
471	1100	98874
470	1035	99909
469	1065	100974
468	1020	101994
467	1104	103098
466	1066	104164
465	1117	105281
464	1080	106361
463	1063	107424
462	1060	108484
461	1060	109544
460	1113	110657
459	1113	111770
458	1081	112851
457	1052	113903
456	1074	114977
455	1062	116039
454	1036	117075
453	1103	118178
452	1040	119218
451	1100	120318
450	1005	121323
449	1158	122481
448	1108	123589
447	1136	124725
446	1044	125769
445	1147	126916
444	1135	128051
443	1139	129190
442	1187	130377
441	1042	131419
440	1103	132522
439	1079	133601
438	1151	134752
437	1032	135784
436	1125	136909
435	1090	137999
434	1178	139177
433	1136	140313
432	1133	141446
431	1128	142574
430	1157	143731
429	1085	144816
428	1094	145910
427	1116	147026
426	1129	148155
425	1110	149265
424	1176	150441
423	1101	151542
422	1064	152606
421	1131	153737
420	1165	154902
419	1159	156061
418	1129	157190
417	1104	158294
416	1131	159425
415	1100	160525
414	1100	161625
413	1135	162760
412	1165	163925
411	1078	165003
410	1131	166134
409	1068	167202
408	1108	168310
407	1105	169415
406	1185	170600
405	1092	171692
404	1149	172841
403	1122	173963
402	1158	175121
401	1114	176235
400	1141	177376
399	1088	178464
398	1124	179588
397	1107	180695
396	1103	181798
395	1129	182927
394	1136	184063
393	1083	185146
392	1119	186265
391	1123	187388
390	1112	188500
389	1157	189657
388	1124	190781
387	1141	191922
386	1065	192987
385	1060	194047
384	1101	195148
383	1103	196251
382	1109	197360
381	1059	198419
380	1048	199467
379	1069	200536
378	1094	201630
377	1028	202658
376	1064	203722
375	1087	204809
374	1025	205834
373	1089	206923
372	975	207898
371	1004	208902
370	1035	209937
369	1054	210991
368	1077	212068
367	989	213057
366	980	214037
365	989	215026
364	959	215985
363	998	216983
362	974	217957
361	990	218947
360	1000	219947
359	990	220937
358	1008	221945
357	1026	222971
356	1046	224017
355	964	224981
354	921	225902
353	978	226880
352	958	227838
351	918	228756
350	967	229723
349	936	230659
348	1020	231679
347	936	232615
346	909	233524
345	943	234467
344	938	235405
343	910	236315
342	912	237227
341	865	238092
340	852	238944
