分数段	分数段人数（含本科加分）	累计人数
264	483	333599
263	477	334076
262	474	334550
261	483	335033
260	459	335492
259	479	335971
258	507	336478
257	491	336969
256	482	337451
255	451	337902
254	471	338373
253	482	338855
252	438	339293
251	452	339745
250	493	340238
249	438	340676
248	442	341118
247	404	341522
246	431	341953
245	433	342386
244	435	342821
243	435	343256
242	421	343677
241	440	344117
240	422	344539
239	415	344954
238	444	345398
237	446	345844
236	410	346254
235	451	346705
234	430	347135
233	402	347537
232	395	347932
231	422	348354
230	411	348765
229	419	349184
228	368	349552
227	365	349917
226	368	350285
225	383	350668
224	442	351110
223	400	351510
222	377	351887
221	418	352305
220	370	352675
219	370	353045
218	399	353444
217	406	353850
216	365	354215
215	384	354599
214	391	354990
213	361	355351
212	381	355732
211	369	356101
210	354	356455
209	352	356807
208	342	357149
207	348	357497
206	346	357843
205	353	358196
204	348	358544
203	326	358870
202	344	359214
201	311	359525
200	353	359878
199	346	360224
198	332	360556
197	339	360895
196	332	361227
195	305	361532
194	312	361844
193	349	362193
192	310	362503
191	333	362836
190	336	363172
189	303	363475
188	301	363776
187	299	364075
186	287	364362
185	313	364675
184	287	364962
183	292	365254
182	310	365564
181	272	365836
180	263	366099
179	283	366382
178	301	366683
177	321	367004
176	247	367251
175	263	367514
174	232	367746
173	263	368009
172	287	368296
171	238	368534
170	252	368786
169	252	369038
168	247	369285
167	218	369503
166	214	369717
165	236	369953
164	229	370182
163	215	370397
162	184	370581
161	216	370797
160	197	370994
